"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","634","Get current weather for valid city","","Sun Mar 23 14:39:26 GMT 2025","passed","Sun Mar 23 14:39:27 GMT 2025","","OpenWeather API Testing","Get current weather for valid city",""
"","21368","Submit contact form with valid data in specific browser","","Sun Mar 23 14:39:55 GMT 2025","passed","Sun Mar 23 14:40:16 GMT 2025","","Contact Form Testing","Submit contact form with valid data in specific browser",""
"","1396","Submit contact form with missing required fields","","Sun Mar 23 14:39:39 GMT 2025","passed","Sun Mar 23 14:39:40 GMT 2025","","Contact Form Testing","Submit contact form with missing required fields",""
"","3009","Submit contact form with valid data in specific browser","","Sun Mar 23 14:39:52 GMT 2025","passed","Sun Mar 23 14:39:55 GMT 2025","","Contact Form Testing","Submit contact form with valid data in specific browser",""
"","548","Get current weather for invalid city","","Sun Mar 23 14:39:27 GMT 2025","passed","Sun Mar 23 14:39:28 GMT 2025","","OpenWeather API Testing","Get current weather for invalid city",""
"","2990","Submit contact form with valid data","","Sun Mar 23 14:39:35 GMT 2025","passed","Sun Mar 23 14:39:38 GMT 2025","","Contact Form Testing","Submit contact form with valid data",""
"","6946","Verify network logs during form submission","","Sun Mar 23 14:39:45 GMT 2025","passed","Sun Mar 23 14:39:52 GMT 2025","","Contact Form Testing","Verify network logs during form submission",""
"","866","Test weather and forecast integration","","Sun Mar 23 14:39:29 GMT 2025","passed","Sun Mar 23 14:39:30 GMT 2025","","OpenWeather API Testing","Test weather and forecast integration",""
"","1485","Submit contact form with missing required fields","","Sun Mar 23 14:39:38 GMT 2025","passed","Sun Mar 23 14:39:39 GMT 2025","","Contact Form Testing","Submit contact form with missing required fields",""
"","446","Test SQL injection in city parameter","","Sun Mar 23 14:39:28 GMT 2025","passed","Sun Mar 23 14:39:29 GMT 2025","","OpenWeather API Testing","Test SQL injection in city parameter",""
"","5257","Get current weather for valid city","","Sun Mar 23 14:39:21 GMT 2025","passed","Sun Mar 23 14:39:26 GMT 2025","","OpenWeather API Testing","Get current weather for valid city",""
"","440","Test invalid API key","","Sun Mar 23 14:39:29 GMT 2025","passed","Sun Mar 23 14:39:29 GMT 2025","","OpenWeather API Testing","Test invalid API key",""
"","2934","Submit contact form with valid data and wait for success message","","Sun Mar 23 14:39:42 GMT 2025","passed","Sun Mar 23 14:39:45 GMT 2025","","Contact Form Testing","Submit contact form with valid data and wait for success message",""
"","628","Get 5-day forecast for valid city","","Sun Mar 23 14:39:28 GMT 2025","passed","Sun Mar 23 14:39:28 GMT 2025","","OpenWeather API Testing","Get 5-day forecast for valid city",""
"","4508","Submit contact form with valid data","","Sun Mar 23 14:39:30 GMT 2025","passed","Sun Mar 23 14:39:35 GMT 2025","","Contact Form Testing","Submit contact form with valid data",""
"","11792","Test form submission with error occurring","","Sun Mar 23 14:40:16 GMT 2025","passed","Sun Mar 23 14:40:28 GMT 2025","","Contact Form Testing","Test form submission with error occurring",""
"","1534","Submit contact form with missing required fields","","Sun Mar 23 14:39:40 GMT 2025","passed","Sun Mar 23 14:39:42 GMT 2025","","Contact Form Testing","Submit contact form with missing required fields",""
